Date,Beef,Cheese,Wheat,Soybeans,Crude Oil,MP Renewable Raw,MP Fossil Raw,MP Sugar Raw,MP Renewable Food,MP Fossil Food,MP Sugar Food
11/01/2020,4402.69,3664,275.25,502,43.23,2000,800,1100,2857,1143,1571
10/01/2020,4244.06,3609,273.25,454,40.47,2000,800,1100,2857,1143,1571
09/01/2020,4095.87,3524,246.4,419,41.09,2000,800,1100,2857,1143,1571
08/01/2020,4007.44,3505,220.75,387,44.26,2000,800,1100,2857,1143,1571
07/01/2020,4081.51,3516,220.5,383,42.81,2000,800,1100,2857,1143,1571
06/01/2020,4298.37,3447.32,216.4,369,39.93,2000,800,1100,2857,1143,1571
05/01/2020,4395.24,3361.96,223,360,31.02,2000,800,1100,2857,1143,1571
04/01/2020,4372.03,3381.22,232,362,23.34,2000,800,1100,2857,1143,1571
03/01/2020,4392.97,3465.09,227,369,32.98,2000,800,1100,2857,1143,1571
02/01/2020,4428.11,3410.28,230.25,376,55,2000,800,1100,2857,1143,1571
01/01/2020,4808.58,3390.21,237,390,63.6,2000,800,1100,2857,1143,1571
12/01/2019,5003.16,3369.32,225.2,381,65.85,2000,800,1100,2857,1143,1571
11/01/2019,4838.65,3319.61,220.25,377,62.74,2000,800,1100,2857,1143,1571
10/01/2019,4467.16,3320.64,212.4,385,59.37,2000,800,1100,2857,1143,1571
09/01/2019,4220.8,3315.94,200.5,365,62.33,2000,800,1100,2857,1143,1571
08/01/2019,4173.97,3383.94,202.75,382,59.25,2000,800,1100,2857,1143,1571
07/01/2019,3983.59,3409.02,216.4,374,64,2000,800,1100,2857,1143,1571
06/01/2019,3860.84,3463.41,227.5,371,63.3,2000,800,1100,2857,1143,1571
05/01/2019,3879.35,3567.83,212,345,70.53,2000,800,1100,2857,1143,1571
04/01/2019,3779.2,3536.72,213.2,364,71.2,2000,800,1100,2857,1143,1571
03/01/2019,3719.35,3561.13,223.5,373,66.41,2000,800,1100,2857,1143,1571
02/01/2019,3751.53,3506.53,234.5,380,64.13,2000,800,1100,2857,1143,1571
01/01/2019,3748.77,3463.88,238.2,382,59.27,2000,800,1100,2857,1143,1571
12/01/2018,3810.22,3419.11,240.5,382,56.46,2000,800,1100,2857,1143,1571
11/01/2018,3993.8,3519.28,232,373,65.17,2000,800,1100,2857,1143,1571
10/01/2018,3893.56,3627.98,239.6,368,80.47,2000,800,1100,2857,1143,1571
09/01/2018,3954.92,3789.14,241.75,358,78.86,2000,800,1100,2857,1143,1571
08/01/2018,4079.37,3742.92,249.75,380,73.13,2000,800,1100,2857,1143,1571
07/01/2018,4196.84,3791.34,235.4,378,74.44,2000,800,1100,2857,1143,1571
06/01/2018,4181.36,3764.96,241.5,398,75.19,2000,800,1100,2857,1143,1571
05/01/2018,4184.26,3746.55,249.6,431,76.65,2000,800,1100,2857,1143,1571
04/01/2018,4002.67,3752.62,240.25,442,71.63,2000,800,1100,2857,1143,1571
03/01/2018,3966.87,3962.72,245.5,432,66.45,2000,800,1100,2857,1143,1571
02/01/2018,4000.5,3879.17,239.75,418,65.42,2000,800,1100,2857,1143,1571
01/01/2018,4278.72,3834.46,228.6,405,68.99,2000,800,1100,2857,1143,1571
12/01/2017,4300.03,3874.74,219.25,399,64.21,2000,800,1100,2857,1143,1571
11/01/2017,4263.29,3977.93,220.25,401,62.57,2000,800,1100,2857,1143,1571
10/01/2017,4224.23,3962.79,214,399,57.62,2000,800,1100,2857,1143,1571
09/01/2017,4211.75,3915.12,215.25,397,55.16,2000,800,1100,2857,1143,1571
08/01/2017,4230.71,3871.68,201,390,51.37,2000,800,1100,2857,1143,1571
07/01/2017,4241.06,3777.24,240,408,48.69,2000,800,1100,2857,1143,1571
06/01/2017,4212.11,3650.73,226.25,380,46.89,2000,800,1100,2857,1143,1571
05/01/2017,4235.52,3552.73,200.2,388,50.87,2000,800,1100,2857,1143,1571
04/01/2017,4168.22,3448.2,190.75,389,52.98,2000,800,1100,2857,1143,1571
03/01/2017,4107.93,3457.93,198.25,404,51.97,2000,800,1100,2857,1143,1571
02/01/2017,4112.18,3277.26,210,427,55.49,2000,800,1100,2857,1143,1571
01/01/2017,4044.56,3198.63,200.6,425,54.89,2000,800,1100,2857,1143,1571
12/01/2016,4193.39,3054.88,186.75,420,54.07,2000,800,1100,2857,1143,1571
11/01/2016,4432.84,3026.38,190.6,412,46.44,2000,800,1100,2857,1143,1571
10/01/2016,4287.18,3062.49,192.75,403,49.73,2000,800,1100,2857,1143,1571
09/01/2016,4179.23,2962.02,188.25,405,46.19,2000,800,1100,2857,1143,1571
08/01/2016,4253.86,2723.98,188.2,413,46.14,2000,800,1100,2857,1143,1571
07/01/2016,3958.85,2536.31,187.75,432,45.07,2000,800,1100,2857,1143,1571
06/01/2016,3929.18,2481.7,198,457,48.48,2000,800,1100,2857,1143,1571
05/01/2016,3943.59,2521.76,193.2,422,47.13,2000,800,1100,2857,1143,1571
04/01/2016,3917.15,2811.9,200.75,393,42.25,2000,800,1100,2857,1143,1571
03/01/2016,3713.66,2782.63,207,375,39.07,2000,800,1100,2857,1143,1571
02/01/2016,3912.3,2867.42,205.25,369,33.2,2000,800,1100,2857,1143,1571
01/01/2016,3909.15,2853.13,213.75,367,30.8,2000,800,1100,2857,1143,1571
12/01/2015,4163.93,2878.6,212.4,372,37.72,2000,800,1100,2857,1143,1571
11/01/2015,4364.79,2798.21,211,368,44.42,2000,800,1100,2857,1143,1571
10/01/2015,4142.45,3074.09,220.75,376,48.12,2000,800,1100,2857,1143,1571
09/01/2015,4546.39,3035.16,218.4,368,47.24,2000,800,1100,2857,1143,1571
08/01/2015,4521.56,3012.34,215.75,381,46.99,2000,800,1100,2857,1143,1571
07/01/2015,4599.79,3024.4,237.5,405,55.87,2000,800,1100,2857,1143,1571
06/01/2015,4401.1,3174.81,242,397,62.34,2000,800,1100,2857,1143,1571
05/01/2015,4114.62,3191.48,231.25,385,64.56,2000,800,1100,2857,1143,1571
04/01/2015,4163.23,3102.48,238.75,396,59.39,2000,800,1100,2857,1143,1571
03/01/2015,4135.64,3096.9,249.6,402,55.79,2000,800,1100,2857,1143,1571
02/01/2015,4310.9,3207.54,251.75,407,57.93,2000,800,1100,2857,1143,1571
01/01/2015,4374.33,3314.71,262,421,48.07,2000,800,1100,2857,1143,1571
12/01/2014,4654.16,3663.84,288.8,446,62.33,2000,800,1100,2857,1143,1571
11/01/2014,4883.18,3831.52,280.25,447,78.44,2000,800,1100,2857,1143,1571
10/01/2014,4990.64,4011.24,289.5,430,87.27,2000,800,1100,2857,1143,1571
09/01/2014,4883.42,4091.93,278.6,433,97.34,2000,800,1100,2857,1143,1571
08/01/2014,4881.2,4330.8,284.5,457,101.92,2000,800,1100,2857,1143,1571
07/01/2014,4859.61,4462.13,294.2,480,106.98,2000,800,1100,2857,1143,1571
06/01/2014,4800.07,4664.39,314,514,111.87,2000,800,1100,2857,1143,1571
05/01/2014,4757.86,4924.21,345.25,522,109.68,2000,800,1100,2857,1143,1571
04/01/2014,4619.56,5052.08,339.6,516,107.79,2000,800,1100,2857,1143,1571
03/01/2014,4434.51,5169.97,333.75,501,107.4,2000,800,1100,2857,1143,1571
02/01/2014,4417.16,5174.83,303.25,594,108.81,2000,800,1100,2857,1143,1571
01/01/2014,4365.15,5132.54,288,566,107.42,2000,800,1100,2857,1143,1571
12/01/2013,4657.07,5182.77,300.8,568,110.67,2000,800,1100,2857,1143,1571
11/01/2013,4656.26,5068,316.5,556,108.08,2000,800,1100,2857,1143,1571
10/01/2013,4548.39,5024.35,332.6,544,109.48,2000,800,1100,2857,1143,1571
09/01/2013,4475.99,4808.72,311.5,556,111.62,2000,800,1100,2857,1143,1571
08/01/2013,4324.81,4636.28,314.5,516,110.96,2000,800,1100,2857,1143,1571
07/01/2013,4413.93,4461.01,311,509,107.72,2000,800,1100,2857,1143,1571
06/01/2013,4426.75,4431.49,321.25,524,103.11,2000,800,1100,2857,1143,1571
05/01/2013,4424.88,4308.68,328.75,497,103.03,2000,800,1100,2857,1143,1571
04/01/2013,4585.36,4259.83,323.6,495,102.88,2000,800,1100,2857,1143,1571
03/01/2013,4615.47,4186.11,323.25,511,109.24,2000,800,1100,2857,1143,1571
02/01/2013,4621.37,4247.16,328.5,596,116.52,2000,800,1100,2857,1143,1571
01/01/2013,4577.96,4136.52,347.6,592,112.97,2000,800,1100,2857,1143,1571
